pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,867.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,867.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,868.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,868.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,867.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,867.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,868.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,868.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,867.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,867.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,868.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,868.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,867.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,867.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,868.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,868.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,867.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,867.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,868.81
